datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,conditions
1/1/2016,17.9,6.5,11.7,17.9,5.4,11.6,-7.4,26.8,0,0,0,25.9,9.4,4.3,1019.1,2.6,15.8,144.1,12.3,6,0.75,Clear
2/1/2016,18,8.7,12.5,18,7.9,12.4,-3.5,36.4,0,0,0,21.6,7.1,8,1018.1,4.2,16,125.4,10.7,5,0.77,Clear
3/1/2016,16.6,6.8,11.9,16.6,6.8,11.9,3.9,58.5,0,0,0,57.2,17.5,112.3,1014,14.6,16,117.4,10.2,5,0.8,Clear
4/1/2016,19.7,13.3,15.5,19.7,13.3,15.5,7.4,60.2,0.236,100,8.33,24.8,11,342.4,1008.8,64.3,16,104,9,4,0.83,"Rain, Partially cloudy"
5/1/2016,14.4,10.3,13.3,14.4,10.3,13.3,10.8,84.9,21.349,100,33.33,51.8,14.5,163.7,1010.1,75.5,12.4,24.5,2.2,2,0.86,"Rain, Partially cloudy"
6/1/2016,13.8,7.9,10.4,13.8,7.9,10.3,8.2,86.6,15.492,100,54.17,55.4,13.9,116.9,1013.6,73.6,12.6,37.4,3.2,2,0.9,"Rain, Partially cloudy"
7/1/2016,14.8,8.1,11.3,14.8,8.1,11.3,6.4,73.3,9.605,100,33.33,29.5,12.3,302.5,1012.4,45.2,15,100.8,8.8,4,0.93,"Rain, Partially cloudy"
8/1/2016,16,7.8,11.8,16,7.7,11.7,3.2,56.7,0,0,0,16.6,10.9,32.7,1016.6,2.5,16,144.1,12.5,6,0.96,Clear
9/1/2016,15.5,7.8,11.6,15.5,7.8,11.6,5.7,67.9,0,0,0,14.8,10,74,1022.1,72.1,15.8,68.5,5.9,3,0,Partially cloudy
10/1/2016,16,10.6,13.1,16,10.6,13.1,8.9,76.2,0.01,100,4.17,20.5,9.3,288.9,1021.6,68,15.5,105.6,9.1,5,0.03,"Rain, Partially cloudy"
11/1/2016,17.2,9.1,12.9,17.2,9.1,12.9,6.3,66.4,0,0,0,18,10.9,257.7,1024,5.2,13.9,127.3,11,5,0.06,Clear
12/1/2016,20,7.8,12.8,20,7.8,12.9,1.1,48.5,0,0,0,25.9,14,321.3,1022.2,2.1,16,157,13.7,6,0.1,Clear
13/1/2016,18.1,7.1,12.5,18.1,7.1,12.5,6.5,68.7,0,0,0,21.6,7.2,274.1,1020.3,31,15.9,135.2,11.5,6,0.13,Partially cloudy
14/1/2016,17.5,10.4,13.7,17.5,10.4,13.7,9.3,75.6,0,0,0,25.9,8.5,247.8,1018.9,23.4,13.8,119.1,10.2,5,0.17,Partially cloudy
15/1/2016,17.7,10.7,14,17.7,10.7,14,10.1,78.2,0,0,0,18,8.6,81.2,1018.4,74.1,13.5,97.2,8.4,4,0.21,Partially cloudy
16/1/2016,18.5,12.1,14.9,18.5,12.1,14.9,10.8,76.7,0,0,0,24.5,10.3,261.6,1020.9,41.9,14.4,118.5,10.2,5,0.25,Partially cloudy
17/1/2016,19,9.8,14.2,19,9.8,14.2,10.7,80.8,0,0,0,24.5,10.5,267.2,1021,9,8.6,145.3,12.7,6,0.28,Clear
18/1/2016,16.7,12.8,14.6,16.7,12.8,14.6,12.1,85.5,0,0,0,27.4,9.3,298.3,1021.7,91.9,10.5,77.3,6.7,3,0.31,Overcast
19/1/2016,17,12.2,14.8,17,12.2,14.8,12.2,84.9,0.323,100,25,43.2,12.8,283.4,1022.2,63,13.6,77.5,6.9,3,0.35,"Rain, Partially cloudy"
20/1/2016,19.5,13.1,15.9,19.5,13.1,15.9,13,83.5,0.409,100,12.5,21.2,9.4,261.7,1022.1,57.8,10.9,126.9,11,5,0.38,"Rain, Partially cloudy"
21/1/2016,24.7,10.2,16.2,24.7,10.2,16.2,7.8,64.8,0,0,0,19.8,10.4,333.2,1021.1,25.2,11.8,154.9,13.4,6,0.42,Partially cloudy
22/1/2016,20.4,10.3,14.8,20.4,10.3,14.8,8.3,68.1,0,0,0,14.8,8.3,282.1,1019.2,7.8,13.9,131.1,11.4,6,0.46,Clear
23/1/2016,17.3,12.1,14.5,17.3,12.1,14.5,9.8,74.8,0,0,0,35.3,12.7,279.8,1016.5,37,13.9,93.8,8.1,4,0.5,Partially cloudy
24/1/2016,18,8.7,13.9,18,8.7,13.9,5.8,59.5,0,0,0,21.2,18.9,349.1,1017.8,3.3,16,159.7,13.7,6,0.52,Clear
25/1/2016,21.4,10.4,15.1,21.4,10.4,15.1,3.9,49.1,0,0,0,25.9,10.3,284.5,1018.6,2.9,16,166.8,14.4,6,0.56,Clear
26/1/2016,21.9,8.9,15,21.9,8.9,15,1.2,41.8,0,0,0,19.1,17.2,268.3,1022.5,1.1,16,172.3,14.9,7,0.59,Clear
27/1/2016,22.3,11.7,15.9,22.3,11.7,15.9,-3.6,27.7,0,0,0,17.3,7.4,7.6,1023.4,4.9,16,108.7,9.3,4,0.62,Clear
28/1/2016,22.6,10.4,15.6,22.6,10.4,15.6,1,40.4,0,0,0,25.9,12.3,306.1,1020.5,2.5,16,173.6,15,7,0.65,Clear
29/1/2016,21.2,10.7,15.6,21.2,10.7,15.6,9.1,66.3,0,0,0,29.5,10.2,163.2,1017.2,7.6,15.4,159.7,13.8,6,0.69,Clear
30/1/2016,18.6,12.9,15.4,18.6,12.9,15.4,11.9,80.1,0,0,0,32,7.1,145.8,1015.7,77.6,14.3,146.9,12.7,6,0.72,Partially cloudy
31/1/2016,14.7,10.1,12.8,14.7,10.1,12.8,8.3,75.4,9.223,100,33.33,62,24.8,254.7,1008.9,71,13.7,42.5,3.7,3,0.75,"Rain, Partially cloudy"
1/2/2016,14,7.1,10.6,14,7.1,10.3,-4.1,36.7,0,0,0,53.6,22.7,323.6,1015.9,11.3,16,178,15.5,7,0.78,Clear
2/2/2016,15.6,5.2,10.9,15.6,5.2,10.8,-2,41.9,0,0,0,27,11.6,282.4,1022.2,2.6,16,177.7,15.3,7,0.81,Clear
3/2/2016,18,7.1,12.2,18,6.7,12.1,1.4,50.4,0,0,0,17.3,10.2,312.1,1026.1,1.7,15.8,180.2,15.6,7,0.85,Clear
4/2/2016,20.2,8.4,13.7,20.2,8.4,13.7,-1.4,36.9,0,0,0,21.2,10.4,317.7,1025.5,2.2,16,182.4,15.8,7,0.88,Clear
5/2/2016,24.3,8.2,16.1,24.3,8.2,16.1,-2.4,31.5,0,0,0,22.3,8.3,303.2,1025.1,1.4,16,186.3,16.2,7,0.91,Clear
6/2/2016,25,10.2,17.2,25,10.2,17.2,-3.1,26.7,0,0,0,22,8,294,1023,0.1,15.7,189.8,16.3,7,0.94,Clear
7/2/2016,28.2,11,19,26.8,11,18.8,-3.1,24.7,0,0,0,25.9,10.5,315.1,1019.6,0,16,191,16.4,7,0.97,Clear
8/2/2016,31,12.2,21.1,28.9,12.2,20.5,-0.7,27.6,0,0,0,26.3,9.6,23.3,1019.3,0,15.9,192.2,16.6,7,0,Clear
9/2/2016,31.1,14,21.8,29,14,21.3,-0.6,25.1,0,0,0,21.6,5.4,328.3,1019.2,1,15.8,197.4,17,7,0.04,Clear
10/2/2016,30.7,16.2,21.2,28.7,16.2,20.8,0.8,27.8,0,0,0,25.6,10.5,335.7,1019.1,1.9,15.9,198.2,17.1,7,0.08,Clear
11/2/2016,30,15.9,20.9,28.1,15.9,20.6,1.4,29.4,0,0,0,24.5,8.2,355.8,1018.4,1.2,15.6,201.4,17.3,7,0.11,Clear
12/2/2016,28.5,13.2,19.2,27,13.2,19,5.3,44.2,0,0,0,27,14.6,266.7,1018.1,3.5,15.8,201.6,17.3,7,0.15,Clear
13/2/2016,22.6,10.9,15.5,22.6,10.9,15.5,10.1,72.8,0,0,0,46.4,8.5,254.3,1017.9,11.7,9.8,200.7,17.3,7,0.18,Clear
14/2/2016,25.1,9,16.8,25.1,9,16.8,9,64.4,0,0,0,86.8,8.3,270.2,1016.2,5.4,9.4,201.7,17.5,7,0.25,Clear
15/2/2016,31,13.3,21.5,29,13.3,21,6.2,42.1,0,0,0,22,9.6,280.3,1013.8,1.7,15.9,202.7,17.5,7,0.26,Clear
16/2/2016,31.3,15.1,22.1,29.2,15.1,21.5,3.8,34.5,0,0,0,31,20.1,279.2,1011.6,0.2,16,207.9,18.1,7,0.29,Clear
17/2/2016,23.3,13.3,17,23.3,13.3,17,8.6,61,14.719,100,33.33,37.8,21.2,109.2,1010.9,44.1,13.9,133.3,11.5,6,0.33,"Rain, Partially cloudy"
18/2/2016,19,13.8,15.8,19,13.8,15.8,10.5,72.5,4.531,100,25,31.7,16.7,304.4,1014.7,53.9,14.8,181.3,15.7,7,0.36,"Rain, Partially cloudy"
19/2/2016,19.5,10.7,15,19.5,10.7,15,9.4,70.9,0,0,0,26.3,9.9,266.5,1018.2,2.8,15.9,209.2,18.2,7,0.4,Clear
20/2/2016,21.2,10.1,15.3,21.2,10.1,15.3,8.8,67.5,0,0,0,27.4,12,268.5,1018.3,1.4,15.9,214.4,18.3,8,0.43,Clear
21/2/2016,21.4,10.1,15.5,21.4,10.1,15.5,9.6,70,0,0,0,30.6,9.9,241.1,1017.9,1.1,16,217.5,18.9,8,0.47,Clear
22/2/2016,25,10.8,18.1,25,10.8,18.1,7.1,54.7,0,0,0,38.9,13.8,341.3,1014.4,5.2,14.4,219.8,18.9,8,0.5,Clear
23/2/2016,27.6,12.9,20.4,26.3,12.9,20.2,-0.3,26.6,0,0,0,25.2,9.9,318.8,1014.6,4.1,15.9,211.2,18.2,8,0.53,Clear
24/2/2016,27.2,14.4,20.3,26.1,14.4,20.1,-2.4,23.1,0,0,0,24.1,8.3,346.5,1017.8,1.9,16,228.2,19.8,8,0.57,Clear
25/2/2016,27.3,14,19.6,26.6,14,19.5,1.6,33.2,0,0,0,32.8,12.7,321.3,1017.2,0.4,16,229.6,19.9,8,0.6,Clear
26/2/2016,25.1,12.3,17.8,25.1,12.3,17.8,7.8,55.2,0,0,0,30.2,13,269.3,1017.9,3.1,15.1,220.8,19.2,8,0.63,Clear
27/2/2016,21.8,12.2,16.6,21.8,12.2,16.6,11.9,75.5,0,0,0,33.8,9.4,214.7,1016.2,9.1,12.5,216.9,18.7,8,0.67,Clear
28/2/2016,22.8,13.3,16.8,22.8,13.3,16.8,13,80.2,0,0,0,33.1,7,236.3,1015.7,24.4,9.2,215.8,18.6,8,0.7,Partially cloudy
29/2/2016,22.3,14.1,16.7,22.3,14.1,16.7,13.1,80.8,0,0,0,29.9,7.7,240.6,1016.2,33.2,6.7,228.8,19.8,8,0.73,Partially cloudy
1/3/2016,23,13.2,16.6,23,13.2,16.6,12.6,78.7,0,0,0,30.2,8.3,243.8,1017.9,25.2,5.6,228.2,19.8,8,0.75,Partially cloudy
