Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,FirstFlrSF,SecondFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQual,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,Threeseasonporch,ScreenPorch,Fence,MiscFeature,SaleType,SaleCondition,SalePrice,HouseAge,HouseRemodAge,HouseCond,GarageAge,TotalArea,TotalSF,LivAreaRatio,LivLotRatio,RmsPerSqft,BedroomRatio,FlrRatio,Spaciousness,Bldg_1Fam,Bldg_Duplex,Bldg_Twnhs,Bldg_TwnhsE,MedNhbdArea,LgGrLivArea,LgMasVnrArea,OverallAvg,QualSF,NhbQual,ExterQualNum,KitchenQualNum,BsmtQualNum,FireplaceQualNum,GarageQualNum,CompositeQual,BsmtCondNum,BsmtQualityScore,PorchTypes,TotalBath,Cluster,Centroid0,Centroid1,Centroid2,Centroid3,Centroid4,Centroid5,Centroid6,Centroid7,Centroid8,Centroid9,Centroid10,Centroid11,Centroid12,Centroid13,Centroid14,Centroid15,Centroid16,Centroid17,Centroid18,Centroid19
1,60,RL,65.0,8450,Pave,None,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7.0,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706.0,Unf,0.0,150.0,856.0,GasA,Ex,Y,SBrkr,856,854,0,1710,1.0,0.0,2,1,3,1,Gd,8,Typ,0,None,Attchd,2003.0,RFn,2.0,548.0,TA,TA,Y,0,61,0,0,0,None,None,WD,Normal,208500.0,5,5,0,5.0,2566.0,2416.0,0.7077814569536424,0.20236686390532543,0.004678362573099415,0.0017543859649122807,0.5005847953216375,213.75,1710,0,0,0,1504.0,7.444833273892193,5.2832037287379885,6,16912.0,7.0,4,4.0,4.0,4.0,3.0,3.8,3.0,4,1,3.5,16,2.569914176987701,0.7046349143605252,3.011133644746934,3.807173595001531,6.235748431433709,1.4533180564873056,1.9450795171740092,2.4270266580276934,5.46918672987718,17.46016837663666,26.6334183581931,3.0648452632465424,2.610336817577366,0.8228455427200442,17.70502609193256,3.538884765945383,0.5234204017516301,8.196542801265918,3.049297489766468,3.491395432542107
2,20,RL,80.0,9600,Pave,None,Reg,Lvl,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6.0,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978.0,Unf,0.0,284.0,1262.0,GasA,Ex,Y,SBrkr,1262,0,0,1262,0.0,1.0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,RFn,2.0,460.0,TA,TA,Y,298,0,0,0,0,None,None,WD,Normal,181500.0,31,31,2,31.0,2524.0,2240.0,0.5633928571428571,0.13145833333333334,0.004754358161648178,0.002377179080824089,1.0,210.33333333333334,1262,0,0,0,1706.5,7.141245122350491,0.0,7,13440.0,7.5,3,3.0,4.0,3.0,3.0,3.2,3.0,4,1,2.5,0,0.1650525747591823,2.7151590135869257,2.859087155849916,2.201995718107396,5.849842913010405,2.4942755502136302,3.486459229492344,0.8662679457317256,4.192240711229635,16.67609653179134,26.268115605246862,2.8265764340351507,1.7246180439437717,1.7865260805248229,17.42561861832228,2.257385624275203,2.5160347145896913,8.709410385864327,1.0889850596222084,4.308026951956113
3,60,RL,68.0,11250,Pave,None,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7.0,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486.0,Unf,0.0,434.0,920.0,GasA,Ex,Y,SBrkr,920,866,0,1786,1.0,0.0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,2.0,608.0,TA,TA,Y,0,42,0,0,0,None,None,WD,Normal,223500.0,7,6,0,7.0,2706.0,2272.0,0.7860915492957746,0.15875555555555557,0.0033594624860022394,0.0016797312430011197,0.5151175811870101,297.6666666666667,1786,0,0,0,1504.0,7.488293515159428,5.093750200806762,6,15904.0,7.0,4,4.0,4.0,3.0,3.0,3.6,3.0,4,1,3.5,1,2.551040574407356,0.4182775481850769,3.198117442215762,3.598427425071197,5.825768548749907,1.7982168190188152,1.6546286082282613,2.4891004345738534,5.2092907580681045,17.104493153057955,26.249048469146974,3.0220163201915953,2.7880016164206656,0.8572732215566228,17.32403040426099,3.242472398228642,0.7885721663674771,7.845467689510521,2.9255587111819823,3.1682992147447697
4,70,RL,60.0,9550,Pave,None,IR1,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7.0,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216.0,Unf,0.0,540.0,756.0,GasA,Gd,Y,SBrkr,961,756,0,1717,1.0,0.0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1998.0,Unf,3.0,642.0,TA,TA,Y,0,35,272,0,0,None,None,WD,Abnorml,140000.0,91,36,4,8.0,2473.0,1933.0,0.8882565959648215,0.17979057591623038,0.004076878276062901,0.0017472335468841002,0.5596971461852067,245.28571428571428,1717,0,0,0,1648.0,7.4489161025442,0.0,6,13531.0,6.0,3,4.0,3.0,4.0,3.0,3.4,4.0,4,2,2.0,16,2.385639241701683,0.6983523111033796,2.7376474863763716,3.6441090808595495,6.011919170566792,1.4527281199421471,1.9590668546995247,2.245336536487711,5.335988492131576,17.386865209812875,26.476408125393103,2.6278007914856936,2.478771044247544,0.6693019815195651,17.544601033057937,3.2889304693086716,0.516245515872428,8.188551002915327,2.869856137024836,3.4710159417944713
5,60,RL,84.0,14260,Pave,None,IR1,Lvl,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8.0,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655.0,Unf,0.0,490.0,1145.0,GasA,Ex,Y,SBrkr,1145,1053,0,2198,1.0,0.0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,2000.0,RFn,3.0,836.0,TA,TA,Y,192,84,0,0,0,None,None,WD,Normal,250000.0,8,8,0,8.0,3343.0,2853.0,0.7704171048019628,0.1541374474053296,0.004094631483166515,0.0018198362147406734,0.5209281164695178,244.22222222222223,2198,0,0,0,2418.0,7.695757990554761,5.860786223465865,6,22824.0,8.0,4,4.0,4.0,3.0,3.0,3.6,3.0,4,2,3.5,6,3.1339920924833677,0.9816654937320209,4.278253487905994,3.365988112800883,5.308273379809471,3.044873219443615,0.6009916663377766,3.3719875516921047,4.583512487910819,16.032842022550284,25.80187821480257,3.5178607963754702,3.871663794059104,1.8162554332585201,16.908877731528765,3.2621003780202864,2.0382831503118792,6.592048453455841,3.0926198238476776,1.9679247917616938
6,50,RL,85.0,14115,Pave,None,IR1,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5.0,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732.0,Unf,0.0,64.0,796.0,GasA,Ex,Y,SBrkr,796,566,0,1362,1.0,0.0,1,1,1,1,TA,5,Typ,0,None,Attchd,1993.0,Unf,2.0,480.0,TA,TA,Y,40,30,0,320,0,MnPrv,Shed,WD,Normal,143000.0,16,14,1,16.0,2158.0,2094.0,0.6504297994269341,0.09649309245483528,0.003671071953010279,0.0007342143906020558,0.5844346549192364,272.4,1362,0,0,0,1282.0,7.217443431696533,0.0,5,10470.0,5.0,3,3.0,4.0,4.0,3.0,3.4,3.0,4,3,2.5,16,2.194837491157947,1.5906133867625603,2.3329063491581885,3.7843452756559905,5.746640566563523,1.2672933456232816,2.8011919504469645,1.7348486869833437,5.61755275650311,17.700778244067145,25.94369755944078,2.745884999970808,1.8591146794206248,1.0960975184362614,17.019405404809042,2.906340869501886,0.8555138738404321,8.791785845335518,2.8953787943398774,4.188660972376917
7,20,RL,75.0,10084,Pave,None,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8.0,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369.0,Unf,0.0,317.0,1686.0,GasA,Ex,Y,SBrkr,1694,0,0,1694,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004.0,RFn,2.0,636.0,TA,TA,Y,255,57,0,0,0,None,None,WD,Normal,307000.0,3,2,0,3.0,3380.0,3063.0,0.5530525628468821,0.16798889329631098,0.004132231404958678,0.0017709563164108619,1.0,242.0,1694,0,0,0,1555.0,7.43543801981455,5.231108616854587,6,24504.0,7.0,4,4.0,5.0,4.0,3.0,4.0,3.0,4,2,3.0,3,1.6443443447895347,3.293553589038945,4.360586056328657,0.5749510462435642,5.525971406901746,3.917796126582785,3.4470121981302433,2.5530894511230313,2.517839578479394,15.070537783277032,26.05595300265366,3.5585227348228154,3.4102856023315287,2.745838894282238,17.290416942096936,2.321305040093704,3.6263830984536543,7.50110462590222,0.6250520200051985,3.588261898497053
8,60,RL,68.0,10382,Pave,None,IR1,Lvl,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7.0,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859.0,BLQ,32.0,216.0,1107.0,GasA,Ex,Y,SBrkr,1107,983,0,2090,1.0,0.0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2.0,484.0,TA,TA,Y,235,204,228,0,0,None,Shed,WD,Normal,200000.0,36,36,2,36.0,3197.0,2981.0,0.7011070110701108,0.20130995954536698,0.0033492822966507177,0.0014354066985645933,0.529665071770335,298.57142857142856,2090,0,0,0,1632.0,7.645397699428633,5.484796933490655,6,20867.0,6.0,3,3.0,4.0,3.0,3.0,3.2,3.0,4,3,3.5,1,2.832854462233803,0.6112949105876084,3.9500392017692927,3.3071073410591576,5.7430112628601275,2.61224886880354,0.8066810557080462,3.048212625958128,4.664913220546726,16.36660933337591,26.287191493105265,3.3566033168834806,3.4998693556204126,1.3982210819927492,17.385956844330217,3.37016409250315,1.6668898379661108,7.002316498370639,2.8915468539289653,2.293513150242721
9,50,RM,51.0,6120,Pave,None,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7.0,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,952.0,952.0,GasA,Gd,Y,FuseF,1022,752,0,1774,0.0,0.0,2,0,2,2,TA,8,Min1,2,TA,Detchd,1931.0,Unf,2.0,468.0,Fa,TA,Y,90,0,205,0,0,None,None,WD,Abnorml,129900.0,77,58,4,77.0,2726.0,1774.0,1.0,0.28986928104575166,0.004509582863585118,0.0011273957158962795,0.5760992108229989,221.75,1774,0,0,0,1374.0,7.4815557019095165,0.0,6,12418.0,5.0,3,3.0,3.0,3.0,2.0,2.8,3.0,3,2,2.0,13,2.225313132133154,0.773708184654912,3.0830922143309634,3.3469706744779555,6.27322768560103,1.6607340421286518,1.8105128341997698,2.2721377916724856,4.998842466458307,17.11217446442745,26.838331907964495,2.923045414944884,2.5867971852716902,0.6009516593946833,17.919702485767363,3.4099075027094927,0.9730548718180877,7.9867646697182595,2.605734751812979,3.2402414038454204
10,190,RL,50.0,7420,Pave,None,Reg,Lvl,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5.0,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851.0,Unf,0.0,140.0,991.0,GasA,Ex,Y,SBrkr,1077,0,0,1077,1.0,0.0,1,0,2,2,TA,5,Typ,2,TA,Attchd,1939.0,RFn,1.0,205.0,Gd,TA,Y,0,4,0,0,0,None,None,WD,Normal,118000.0,69,58,3,69.0,2068.0,1928.0,0.5586099585062241,0.14514824797843665,0.004642525533890436,0.0018570102135561746,1.0,215.4,0,0,0,0,1231.0,6.982862751468942,0.0,6,9640.0,5.0,3,3.0,3.0,3.0,4.0,3.2,3.0,3,1,2.0,7,0.9197000102574118,2.768966053240087,2.105582026875432,3.0785869572696245,6.365924484535598,1.8656671868850416,3.7832760648336428,0.2948114711007472,5.066422537436687,17.567592787805403,26.658131811924644,2.6933174031180758,0.8602365472933231,1.7407617734724838,17.793709474430987,2.8466764737849872,2.2218263723805998,9.41189000766512,1.9483746973479281,4.857007104788407
