Batch_ID,T80,Smiles,Mass,HAcceptors,HDonors,LogP,Rg,TPSA,NumHeteroatoms,HOMOm1(eV),HOMO(eV),LUMO(eV),LUMOp1(eV),PrimeExcite(eV),PrimeExcite(osc),DipoleMoment(Debye),SurfaceCharge,ChargeCorrection,T1,T2,T3,T4,T5,T6,T7,T9,T13,T14,T15,T17,T18,T20,S1,S2,S3,S4,S5,S6,S7,S8,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,O1,O2,O3,O4,O5,O6,O7,O8,O10,O16,O17,O20,TDOS1.5,TDOS1.6,TDOS1.7,TDOS1.8,TDOS1.9,TDOS2.0,TDOS2.1,TDOS2.2,TDOS2.3,TDOS2.4,TDOS2.5,TDOS2.6,TDOS2.7,TDOS2.8,TDOS2.9,TDOS3.0,TDOS3.1,TDOS3.2,TDOS3.3,TDOS3.5,TDOS3.6,TDOS3.7,TDOS3.8,TDOS3.9,TDOS4.0,TDOS4.1,TDOS4.2,TDOS4.3,TDOS4.4,TDOS4.6,SDOS2.5,SDOS2.6,SDOS3.0,SDOS3.1,SDOS3.2,SDOS3.3,SDOS3.4,SDOS3.5,SDOS3.8,SDOS3.9,SDOS4.0,SDOS4.1,SDOS4.2,SDOS4.5,SDOS4.8,SDOS4.9,SDOS5.1,SDOS5.3,SDOS5.4,T_min,T_max,T_range,S_mean,S_std,S_min,S_max,S_range,min_diff_S_T,O_sum,O_mean,O_std,RDKit_0,RDKit_1,RDKit_2,RDKit_3,RDKit_4,RDKit_6,RDKit_8,RDKit_9,num_atoms,complexity,size_index,hetero_polarity,Ncomplexity,ratio_HDonors_HAcceptors,mass_minus_logP,total_H_bonds,energy_gap,delta_HOMO,ratio_HOMO,hardness,softness,chemical_potential,electrophilicity,combined_orbital_feature,predict
Train-01,103.86,CCCCCCCCCCCCc1ccsc1-c1ccc(-c2cccs2)cc1,410.692,2,0,9.607,5.187320785,0.0,2,-8.8374,-7.8893,0.3472,1.4773,4.604815568,0.98788618,0.57258,-0.03811377,0.00245,3.135243434,3.67396133,4.292212396,4.432520562,4.475070498,4.48609232,4.755835606,5.640073364,6.245628878,6.26787089,6.451262106,6.554413466,6.597794068,6.95769561,4.604815568,5.008457254,5.535707,5.777368816,5.806280952,6.180700552,6.321331066,6.460634994,6.654304152,6.656870538,6.819904238,6.920166864,6.951335436,7.05979314,7.263256718,7.330664644,7.40706112,7.430418952,7.571409008,0.98788618,0.000843274,0.015067809,0.017846764,0.1042932,0.0562222,0.072319067,0.059375332,0.021097233,0.602064323,0.016986895,0.118869603,6.07e-15,3.2e-13,1.31e-11,4.18e-10,1.04e-08,2.01e-07,3.03e-06,3.56e-05,0.000325582,0.002318614,0.012859489,0.055545647,0.186861875,0.489651273,0.999873633,1.593854396,1.996451645,2.013180063,1.768059124,1.745397034,2.002522078,2.04419487,1.765658454,1.463188841,1.631723029,2.629855139,4.422731237,6.485324278,8.017557036,7.95054673,1.75e-24,2.99e-22,2.06e-14,1e-12,3.81e-11,1.13e-09,2.6e-08,4.66e-07,0.000600175,0.003961032,0.02035942,0.081498375,0.254073397,1.717760656,1.224982513,0.664732762,0.096763416,0.030793167,0.057339814,3.135243434,6.95769561,3.822452176,6.5113217373999985,0.821969291025043,4.604815568,7.571409008,2.9665934399999996,1.4695721340000003,2.30799048,0.115399524,0.24282467184334403,410.6919999999995,2.0,0.0,9.606999999999996,0.4973830830439128,0.0,14.0,2.0,28.0,11.8214,79.17226210789235,0.0,4.5936603925,0.0,401.08500000000004,2,8.236500000000001,0.9481000000000002,0.11510955926551822,4.118250000000001,0.24282152787676123,-3.7710500000000002,1.726560808899411,0.18199999999999994,104.82585135760945
Train-02,101.13,CCCCCCCCCCCCc1ccsc1-c1cccs1,334.594,2,0,7.94,4.141424852,0.0,2,-9.087,-8.2034,0.8586,1.8912,5.074786554,0.386291755,1.68691,-0.03947586,0.00243,3.385683034,3.898513906,4.43866997,4.616184534,5.703687502,5.850008698,6.11171808,6.315764364,6.695862248,6.890114112,7.120617728,7.201142738,7.294276514,7.752692564,5.074786554,5.814575214,5.920305358,6.014306994,6.291501478,6.587478932,6.659052586,6.80234867,7.142401014,7.317014446,7.322655536,7.652938256,7.782385774,7.858025972,8.006801972,8.008971622,8.124260624,8.24547587,8.323198932,0.386291755,0.075832998,0.018199986,0.09035645,0.013351275,0.007065736,0.034100903,0.001253982,0.042854075,0.046715201,0.256224781,0.007268341,9.92e-20,9.76e-18,7.48e-16,4.47e-14,2.08e-12,7.52e-11,2.12e-09,4.66e-08,7.96e-07,1.06e-05,0.000110011,0.000888726,0.005591486,0.027397929,0.104556577,0.310793294,0.71983914,1.300788587,1.842463758,1.968110598,1.778527735,1.801241895,2.012835253,2.124073105,1.968890473,1.751188418,1.848447266,2.406232661,3.155961918,3.433183113,7.89e-37,4.35e-34,3.29e-24,5.2e-22,6.4e-20,6.13e-18,4.57e-16,2.65e-14,1.16e-09,2.48e-08,4.13e-07,5.35e-06,5.4e-05,0.012395674,0.299839702,0.525958103,0.764710761,0.414866354,0.225909485,3.385683034,7.752692564,4.367009530000001,7.0920198813000015,0.9323440607411199,5.074786554,8.323198932,3.2484123780000003,1.6891035200000002,1.3636857040000003,0.06818428520000001,0.09977451942012901,334.5939999999994,2.0,0.0,7.940000000000007,0.4926811185840784,0.0,13.0,2.0,22.0,9.188,80.79198130238551,0.0,4.070712426,0.0,326.654,2,9.062000000000001,0.8835999999999995,0.09750605854049227,4.531000000000001,0.2207017831159163,-3.6724,1.488250028691238,0.14900000000000047,95.66671750023667
Train-03,78.3,CN1CCN(S(=O)(=O)c2ccc(-c3ccc(-c4cccs4)cc3)cc2)CC1,398.553,4,0,4.0182,5.36802448,40.62,6,-8.2055,-8.0072,0.073,1.2317,4.591710882,1.277359355,8.93223,-0.03245776,-0.00467,3.175326168,3.780856886,4.331315688,4.494994084,4.526621382,4.553525042,4.610283086,4.782627684,5.68305723,5.749163366,6.122839086,6.454634362,6.607972826,6.692229634,4.591710882,4.634409594,5.073063232,5.185128754,5.42834032,5.658224036,5.81255434,6.131951616,6.434165264,6.598314784,6.63733129,6.680017604,6.724600812,6.932998794,7.01714402,7.038877714,7.054536388,7.081787192,7.08799859,1.277359355,0.080091115,4.67e-05,0.00240545,0.018579193,0.051532398,0.058435223,0.047888691,0.007265778,0.025640577,0.390453977,0.119460059,1.16e-15,6.73e-14,3.05e-12,1.08e-10,2.95e-09,6.32e-08,1.05e-06,1.37e-05,0.000138181,0.001087761,0.006668781,0.031840971,0.118400773,0.342892789,0.773446627,1.359310288,1.864208232,2.008984422,1.753305515,1.278625522,1.537276702,1.917179794,2.069065519,1.920736453,1.823534974,2.326937102,3.813788237,6.257147114,9.167411341,13.37755563,4.54e-24,7.49e-22,4.54e-14,2.15e-12,7.9e-11,2.26e-09,5.06e-08,8.8e-07,0.001034539,0.006626775,0.033068987,0.12856339,0.389410236,2.421162358,1.595867464,0.845839293,0.12787823,0.064782334,0.098908203,3.175326168,6.692229634,3.5169034660000005,6.210514642500001,0.8440957898237027,4.591710882,7.08799859,2.4962877079999997,1.4163847140000003,3.3071881420000007,0.16535940710000002,0.29747859567703067,398.5529999999997,4.0,0.0,4.018200000000003,0.7886478386241347,40.620000000000005,5.0,6.0,27.0,10.90364,74.24573551018241,243.71999999999997,12.746012239999999,0.0,394.5348,4,8.0802,0.19830000000000148,0.024541468708513748,4.0401,0.24751856451113474,-3.9670999999999994,1.9477095133783813,0.9603999999999986,82.27978357453335
Train-04,71.88,O=C1c2ccccc2C(=O)c2cc(-c3ccc(-c4cccs4)s3)ccc21,372.47,4,0,5.919,4.948902733,34.14,4,-9.4901,-7.8554,-1.2507,-0.1538,3.60062716,0.897844853,0.88895,-0.02908699,-0.00124,2.532341092,3.0492881,3.193452044,3.274658944,3.392377954,3.595221632,3.732331114,4.153739134,4.57678369,4.91128173,4.945636588,5.512721108,5.688599136,5.74659698,3.54471218,3.60062716,3.799106742,4.27253677,4.428243252,4.53729606,5.02534333,5.155361156,5.559932692,5.585212214,5.840685402,5.858712094,5.96604158,5.979084276,5.986039554,6.066886912,6.108147456,6.234693842,6.317351308,0.000156216,0.897844853,1.47e-05,0.429227094,0.18854753,0.04113216,0.049683429,0.144917725,0.102638667,0.087946936,3.51e-05,0.021935207,3.27e-06,3.81e-05,0.000345888,0.002445413,0.013464736,0.057740209,0.192848658,0.501761384,1.017737566,1.613686704,2.020804318,2.075713176,1.970094385,2.164960102,3.004217659,4.408822605,5.91276552,6.977305692,7.347864206,6.938209568,6.77174155,6.572326618,6.179941788,5.783546157,5.79609992,6.349942848,7.10270783,7.562311017,7.449946721,6.03448054,4.76e-07,6.57e-06,0.019716824,0.078100018,0.24093241,0.578857256,1.083162136,1.578830631,1.145162407,0.747330176,0.622493249,0.774802169,1.037694425,0.886320229,0.246563906,0.276258684,0.49530407,0.594202926,0.614075196,2.532341092,5.74659698,3.214255888,5.259165890599999,0.9165424594974525,3.54471218,6.317351308,2.7726391280000002,1.012371088,2.7181779749999992,0.13590889874999995,0.20978565554718634,372.4699999999998,4.0,0.0,5.919000000000003,0.7938246330240692,34.14,2.0,4.0,26.0,11.483800000000002,75.26313302809199,136.56,9.8884513665,0.0,366.55100000000004,4,6.6047,1.6346999999999996,0.24750552674526818,3.30235,0.3028145705892559,-4.55305,3.1387139919299885,-0.5377999999999996,71.98160593491373
Train-05,68.37,CC(C)(C)OC(=O)n1ccc2ccc(-c3ccc(-c4ccc(-c5cccs5)s4)cc3)cc21,457.62,5,0,8.5485,5.994750506,31.23,5,-8.3237,-7.5965,-0.0253,0.8398,4.098555636,1.693640746,4.12438,-0.03788661,-0.0031,2.750421912,3.39072902,3.712754672,4.250133584,4.32138489,4.376940328,4.463441174,4.53463049,5.055668838,5.466984886,5.619988604,5.884251974,6.07049473,6.120545456,4.098555636,4.927882652,4.985025034,5.06625673,5.411392254,5.708138384,5.841590456,5.854422386,6.103919738,6.295258072,6.305027696,6.331373446,6.391094612,6.455378242,6.46648685,6.506519992,6.620879144,6.731605682,6.898978682,1.693640746,0.145242116,0.051095243,0.063897357,0.047352107,0.011810445,0.00801241,0.11816581,0.166753542,0.111654517,0.25716549,0.088791058,6.48e-09,1.3e-07,2.04e-06,2.49e-05,0.000236463,0.001749083,0.010075901,0.045204744,0.157947124,0.429805374,0.910936761,1.504108433,1.937448818,1.959854054,1.606889654,1.214999271,1.144717941,1.499924711,2.082576849,2.855082058,2.870141915,2.664497129,2.331600257,2.207380673,2.836512006,4.607640896,7.357967976,10.31012823,12.45044694,12.27260533,4.53e-14,2.18e-12,9.49e-07,1.31e-05,0.000139821,0.001166487,0.007579032,0.038350767,1.108698235,2.063855637,2.992074548,3.37829831,2.970979482,0.487723098,0.36322164,0.474953231,0.440670879,0.234648706,0.183111483,2.750421912,6.120545456,3.370123544,5.9460423661999995,0.7239196151912408,4.098555636,6.898978682,2.8004230459999997,1.3481337240000002,3.545310375,0.17726551875000002,0.37016908652569913,457.6199999999998,5.0,0.0,8.548500000000002,0.6105119291967201,31.23,3.0,5.0,32.0,13.8097,76.33677551804763,156.15,11.120375252999999,0.0,449.0715,5,7.5712,0.7272000000000007,0.0960481699006539,3.7856,0.2641588482251563,-3.8108999999999997,1.9181845427409128,0.13789999999999925,67.16105452566619
Train-06,51.7,c1csc(-c2ccc(-c3ccc(-c4ccc5c(c4)C4(c6ccccc6Oc6ccccc64)c4ccccc4-5)cc3)s2)c1,572.754,3,0,11.2794,5.999278768,9.23,3,-8.2681,-7.5803,-0.143,0.5859,3.999247656,1.968966722,1.15919,-0.03958586,-0.00039,2.659581766,3.317605616,3.6784866,4.03468114,4.185527606,4.214439742,4.293328216,4.35114009,4.515202824,4.544040572,4.657953396,4.739990962,4.809382568,4.876294574,3.999247656,4.754608204,4.941619636,5.034530248,5.138115538,5.232191562,5.3106833,5.31241902,5.571400842,5.626547146,5.782042862,5.819608802,5.868295748,5.89431915,6.022378092,6.10173769,6.160863752,6.216010056,6.326848176,1.968966722,0.185141162,0.02974237,0.003018575,0.05265868,0.000154196,0.013440026,0.003251614,0.147234089,0.09532883,0.177141809,0.07173683,1e-07,1.6e-06,2e-05,0.000194416,0.001471377,0.008672468,0.039809604,0.14231807,0.396243377,0.85922717,1.451348582,1.911326593,1.971354763,1.629168511,1.195018833,1.040189786,1.310639129,1.844192961,2.334186776,2.722411543,2.827333807,3.032747185,3.565826957,4.850778689,7.243257513,10.65747238,14.46454525,17.74825566,19.74769816,19.26688579,2.47e-12,9.23e-11,1.49e-05,0.000160043,0.001337502,0.008705217,0.044125667,0.174192461,2.391126681,3.472565354,3.927792816,3.461238158,2.38116363,0.341194858,0.437977,0.40670478,0.292732471,0.303195686,0.365520463,2.659581766,4.876294574,2.216712808,5.5232885433,0.5796091909323715,3.999247656,6.326848176,2.3276005200000003,1.33966589,3.1058642369999996,0.15529321184999997,0.43176664886119104,572.7540000000013,3.0,0.0,11.279399999999987,0.579598721448061,9.23,3.0,3.0,42.0,19.35588,95.47046014674207,27.69,6.922639384,0.0,561.4746,3,7.4373000000000005,0.6878000000000002,0.09247978534148343,3.7186500000000002,0.2689147220322638,-3.86165,2.005074519314805,0.0410999999999998,48.49874022245688
Train-07,48.0,CC(C)(C)OC(=O)CN1C(=O)CCc2cc(-c3ccc(-c4cccs4)s3)ccc21,425.575,5,0,5.7645,5.358737992,46.61,6,-8.7213,-7.5843,0.1185,1.3115,4.15382592,1.280843228,5.25885,-0.03262271,-0.00318,2.740999432,3.56926022,4.186271486,4.217502048,4.351846776,4.475653204,4.63877369,5.068029644,5.557242326,5.765404746,5.939125522,6.282351754,6.282488132,6.345680738,4.15382592,4.913897708,5.230331862,5.598106134,5.618699212,5.7805675,5.870180244,5.878462108,6.1983801,6.272247384,6.428685348,6.711520922,6.729225266,6.737854274,6.835463728,6.882774496,6.96265481,7.157563768,7.19362955,1.280843228,0.009779431,0.034188953,0.021862563,0.001914607,0.086487052,0.006468397,0.00526707,0.04661414,0.358090832,0.148865362,0.0746452,8.7e-09,1.71e-07,2.61e-06,3.11e-05,0.000288591,0.002084966,0.011731192,0.05140574,0.175431463,0.466261746,0.965114613,1.555814285,1.953393679,1.910999077,1.461626283,0.897144462,0.525504739,0.506082064,0.846224251,1.889085536,2.017468652,1.795906828,1.61126293,1.979402631,3.14789425,4.853714667,6.444721475,7.326500331,7.346600809,6.018519132,3.62e-15,2e-13,1.51e-07,2.39e-06,2.94e-05,0.000281687,0.002101401,0.012208948,0.534249804,1.141876642,1.900730226,2.464045844,2.487755519,0.573623055,0.037166417,0.039435002,0.070479241,0.092866885,0.108029683,2.740999432,6.345680738,3.6046813060000003,6.1544843611,0.7994172877541457,4.15382592,7.19362955,3.0398036299999998,1.4128264879999999,2.688806394,0.1344403197,0.28960238421171447,425.5749999999997,5.0,0.0,5.764500000000005,0.6277351159882774,46.61,4.0,6.0,29.0,11.8529,79.41700475341979,279.65999999999997,13.340368996000002,0.0,419.8105,5,7.7028,1.1369999999999996,0.14760864262233953,3.8514,0.2596457756541061,-3.7329,1.809023005919925,0.056000000000000494,42.86755264293967
Train-08,44.96,Cc1cc(-c2ccc(-c3ccc(-c4cccs4)s3)cc2)c2nnnn2c1,374.494,6,0,5.55672,5.110442961,43.08,6,-8.7868,-7.6818,-0.3399,0.4599,3.988734152,1.592068746,8.95801,-0.03022194,-0.00266,2.647320144,3.157659018,3.702464332,4.272821924,4.303110238,4.43736818,4.458915904,4.728882354,5.311067638,5.39517567,5.540195076,5.765789084,5.778137492,5.865332626,3.988734152,4.861925292,5.006845514,5.290834102,5.398919866,5.599817058,5.7334551,5.857459896,6.027610048,6.067283648,6.28132272,6.30841235,6.327926802,6.511826336,6.629309784,6.685137978,6.693097494,6.763394154,6.796992734,1.592068746,0.097313543,0.007208876,0.027293952,0.030646232,0.0086901,0.050030027,0.023575739,0.010084564,0.052349425,0.006706469,0.079894424,1.43e-07,2.21e-06,2.68e-05,0.000252552,0.001853665,0.010595957,0.047171914,0.163561875,0.441784561,0.930112942,1.529709715,1.980547199,2.07219911,1.893701737,1.768554197,1.887514463,2.088840828,2.07930518,1.821521022,1.657952969,1.9339277,2.103537755,2.014137988,1.955053578,2.492659987,4.003790295,6.29155707,8.610278725,10.16925974,10.65265492,2.95e-12,1.08e-10,1.57e-05,0.000163684,0.00133245,0.008447367,0.041707883,0.160376718,2.034553671,2.878048375,3.170701459,2.720547253,1.818599652,0.159367766,0.197677249,0.214037965,0.164542509,0.149024323,0.161364537,2.647320144,5.865332626,3.218012482,5.9358499704000005,0.7428914688477282,3.988734152,6.796992734,2.8082585819999997,1.341414008,2.338987774,0.1169493887,0.34958152837663575,374.4939999999998,6.0,0.0,5.436200000000004,0.7894997732463226,43.6,4.0,6.0,26.0,11.411344000000001,73.28013042661755,258.48,12.8632214805,0.0,368.93728000000004,6,7.3419,1.1049999999999995,0.15050597930971824,3.67095,0.272408975221952,-4.01085,2.1911109825113386,-0.3051999999999996,43.07025937021653
Train-09,38.74,CCCCCCCCCCCCc1ccsc1-c1ccc(-c2ccc(-c3ccc(-c4cccs4)s3)s2)s1,580.975,5,0,13.1255,6.364665502,0.0,5,-8.3084,-7.4681,-0.2243,0.6184,3.79614362,1.694529622,0.84704,-0.04443431,0.00304,2.553665652,3.015553142,3.515862034,3.77853846,4.172373328,4.324397604,4.388867204,4.473371972,5.3255609,5.49578544,5.555779362,5.837486718,5.875697354,5.970740422,3.79614362,4.653080982,5.184186506,5.281076876,5.402750848,5.496541718,5.637147436,5.641982656,5.789965184,5.81212041,5.934823416,6.054699678,6.176088496,6.214199948,6.415357498,6.42817703,6.492299486,6.547619362,6.632421682,1.694529622,0.202273978,0.046481615,0.056211034,0.008103711,0.00262298,0.02021498,0.018696525,0.065140259,0.018824122,0.005897568,0.002361912,1.87e-06,2.3e-05,0.000220677,0.00164562,0.009557312,0.04323067,0.152317449,0.418188272,0.895724298,1.502377545,1.996122789,2.172322165,2.101305095,2.053515089,2.150995348,2.226715765,2.108357679,1.91807425,1.955601565,2.858496036,3.230295485,3.30542164,3.179085511,3.189055997,3.812263669,5.364300648,7.635851678,9.765657265,10.60890092,7.166338728,2.56e-09,5.78e-08,0.001224584,0.007908678,0.039778225,0.155816449,0.475343527,1.129349212,3.379514468,2.954092979,2.012558898,1.074689226,0.471063428,0.308259133,0.329140265,0.241204551,0.202376189,0.26470722,0.314958211,2.553665652,5.970740422,3.4170747700000006,5.7678465321,0.6944111121950874,3.79614362,6.632421682,2.8362780620000003,1.2424779680000002,2.6091766499999993,0.13045883249999995,0.37274664873509206,580.9750000000016,5.0,0.0,13.125499999999978,0.7661604351945555,0.0,16.0,5.0,37.0,16.225099999999994,91.28129491426415,0.0,8.182332751,0.0,567.8495,5,7.243799999999999,0.8403000000000009,0.1160026345284749,3.6218999999999997,0.2760981042828062,-3.8462,2.042195317374859,0.0023999999999990695,10.053310411192378
Train-10,32.17,Cc1ccc(-c2ccc(-c3ccc(-c4cccs4)s3)cc2)cc1Cc1ccc(-c2ccc(F)cc2)s1,522.735,3,0,10.57742,6.970584117,0.0,4,-8.0563,-7.6057,-0.0308,0.7277,4.08129762,1.690352665,1.70108,-0.03721266,0.0032,2.710797904,3.278564314,3.497636974,3.972579558,4.293415002,4.338407344,4.347036352,4.45912667,4.731535526,4.823466696,4.83931134,4.989860254,5.199807986,5.721391846,4.08129762,4.959212398,5.0187104,5.171986874,5.175594692,5.251036522,5.540269464,5.721850572,5.885119834,6.038904626,6.04421097,6.066192624,6.126434506,6.270375286,6.394169316,6.436458894,6.49549817,6.559707412,6.628491516,1.690352665,0.85807906,0.027607049,0.04153529,0.015294671,0.004021237,0.083032032,0.036179374,0.069004186,0.025383666,0.030103379,0.014101585,2.19e-08,4e-07,5.67e-06,6.26e-05,0.000538396,0.003606849,0.018818336,0.076465225,0.241983736,0.59647046,1.145626125,1.717344717,2.022895804,1.924322497,1.630642883,1.547648438,1.915850588,2.60702759,3.240451946,3.199875419,2.660358113,2.256854305,2.321564301,2.978257194,4.308992773,6.490330544,9.463556603,12.524146,14.67031244,15.36400414,8.98e-14,4.13e-12,1.52e-06,2e-05,0.000204871,0.001637003,0.010186988,0.04937061,1.25399223,2.235750245,3.104416881,3.357225414,2.828545863,0.501777956,1.303113941,1.732565243,1.514203896,0.614495564,0.39170171,2.710797904,5.721391846,3.0105939420000003,5.7865321778,0.6672456359595071,4.08129762,6.628491516,2.5471938960000005,1.3704997159999999,3.2069376270000007,0.16034688135000003,0.40531915559418463,522.7350000000005,3.0,0.0,10.577419999999991,0.5021364845789875,0.0,7.0,4.0,36.0,15.915483999999998,74.99155253482863,0.0,7.4852920585,0.0,512.15758,3,7.5748999999999995,0.45060000000000056,0.05948592595467592,3.7874499999999998,0.2640298184715789,-3.81825,1.924650234656563,0.3078999999999995,18.31873423383953
